"foc0" "g1" "ninecode"
1 0 120130623
1 0 120130624
1 0 120130626
1 0 120130627
1 0 120130628
1 0 120130629
1 0 120130631
1 0 120130632
1 0 120130633
1 0 120130634
1 0 120130635
1 0 120130636
1 0 120130637
1 0 120130638
1 0 120130639
1 0 120130640
1 0 120130641
1 0 120130642
1 0 120130643
1 0 120130647
1 0 120130648
1 0 120130649
1 0 120130650
0.75 0.25 120130651
0.75 0.25 120130652
0.75 0.25 120130653
0.5 0.5 120130654
0.5 0.5 120130655
0.5 0.5 120130656
1 0 120130657
1 0 120130658
1 0 120130659
1 0 120130660
0.5 0.5 120130661
0.5 0.5 120130663
0.5 0.5 120130664
0.5 0.5 120130665
1 0 120130666
1 0 120130667
1 0 120130668
1 0 120130669
1 0 120130670
1 0 120130671
1 0 120130672
1 0 120130673
1 0 120130674
1 0 120130675
1 0 120130676
1 0 120130677
1 0 120130678
1 0 120130679
1 0 120130687
1 0 120130688
1 0 120130689
1 0 120130690
1 0 120130696
1 0 120130697
1 0 120130698
1 0 120130699
1 0 120130700
1 0 120130701
1 0 120130702
1 0 120130703
1 0 120130704
1 0 120130705
1 0 120130706
1 0 120130707
1 0 120130708
1 0 120130709
1 0 120130710
0.75 0.25 120130711
0.75 0.25 120130712
0.75 0.25 120130713
1 0 120130714
1 0 120130715
1 0 120130716
1 0 120130717
1 0 120130718
1 0 120130719
1 0 120130720
1 0 120130726
0.5 0.5 120130727
1 0 120130741
1 0 120130742
1 0 120130743
1 0 120130744
1 0 120130745
1 0 120130750
0.75 0.25 120130757
0.75 0.25 120130758
0.75 0.25 120130759
0.75 0.25 120130760
1 0 120130761
1 0 120130762
1 0 120130763
1 0 120130764
1 0 120130774
1 0 120130775
1 0 120130776
1 0 120130777
1 0 120130780
1 0 120130781
1 0 120130782
1 0 120130783
1 0 120143002
1 0 120143003
1 0 120143004
1 0 120143005
1 0 120143006
1 0 120143014
1 0 120143026
1 0 120143027
1 0 120143028
1 0 120143029
1 0 120143030
1 0 120143031
1 0 120143032
1 0 120143038
1 0 120143039
1 0 120143040
1 0 120143041
0.75 0.25 120143042
0.75 0.25 120143043
0.75 0.25 120143044
1 0 120143053
1 0 120143054
1 0 120143055
1 0 120143056
1 0 120143057
1 0 120143058
1 0 120143075
1 0 120143076
1 0 120143087
1 0 120143088
1 0 120143089
1 0 120143090
1 0 120143095
1 0 120143096
1 0 120143119
1 0 120143145
1 0 120143146
1 0 120143149
1 0 120143150
1 0 120143151
1 0 120143157
1 0 120143158
1 0 120143159
1 0 120143160
1 0 120143161
1 0 120143162
0.75 0.25 120143169
0.75 0.25 120143170
0.75 0.25 120143171
1 0 120143172
1 0 120143173
1 0 120143184
1 0 120143185
1 0 120143186
1 0 120143187
1 0 120143188
1 0 120143195
1 0 120143196
1 0 120143207
1 0 120143208
1 0 120143209
1 0 120143210
0.75 0.25 120143211
0.75 0.25 120143212
0.75 0.25 120143213
1 0 120143214
1 0 120143215
1 0 120143216
1 0 120143221
1 0 120143222
1 0 120143223
1 0 120143224
1 0 120143225
1 0 120143226
1 0 120143227
1 0 120143228
1 0 120143229
1 0 120143230
1 0 120143231
1 0 120143232
1 0 120143246
1 0 120143247
1 0 120143250
1 0 120143251
1 0 120143252
1 0 120143253
1 0 120143254
1 0 120143265
1 0 120143266
1 0 120143275
1 0 120143276
1 0 123116203
1 0 123116208
0.75 0.25 123116222
0.75 0.25 123116223
0.75 0.25 123116224
1 0 123116271
1 0 123116276
1 0 123116277
1 0 123116278
1 0 123116279
1 0 123116284
1 0 123116285
1 0 123116286
1 0 123116300
1 0 123116301
1 0 123116302
1 0 123116310
1 0 125158724
1 0 125158725
0.75 0.25 125158726
0.75 0.25 125158727
0.75 0.25 125158728
0.75 0.25 125158748
0.75 0.25 125158749
0.75 0.25 125158750
0.75 0.25 125158751
1 0 125158764
1 0 125158765
1 0 125158766
1 0 125158768
0.75 0.25 125158803
0.75 0.25 125158804
0.75 0.25 125158805
0.75 0.25 125158806
0.75 0.25 125158807
0.75 0.25 125158808
0.75 0.25 125158820
0.75 0.25 125158821
0.75 0.25 125158822
1 0 125158823
1 0 125158824
1 0 125158825
1 0 125158834
1 0 125158835
1 0 125158836
1 0 125158939
1 0 125158940
1 0 125158941
1 0 125158942
0.75 0.25 125158960
0.75 0.25 125158961
0.75 0.25 125158962
0.75 0.25 125158963
1 0 125158987
1 0 125158988
0.75 0.25 125159223
0.75 0.25 125159224
0.75 0.25 125159225
1 0 125159243
1 0 125159244
0.75 0.25 125159265
0.75 0.25 125159266
1 0 125159304
0.75 0.25 125159324
0.75 0.25 125159325
0.75 0.25 125159326
0.75 0.25 125159327
1 0 125159329
1 0 125159330
1 0 125159331
0.75 0.25 125159374
0.75 0.25 125159375
1 0 125159397
1 0 125159477
1 0 125159478
1 0 125160189
1 0 125160190
1 0 125160191
1 0 125160275
1 0 125160276
1 0 125160277
0.75 0.25 125160282
0.75 0.25 125160283
0.75 0.25 125160284
0.5 0.5 125164940
0.5 0.5 125164941
0.5 0.5 125164993
0.5 0.5 125164994
1 0 791330328
1 0 117174392
1 0 117174393
1 0 117174394
1 0 120130547
1 0 120130548
1 0 120130549
1 0 120130550
1 0 120130564
1 0 120130565
1 0 120130566
1 0 120130571
1 0 120130572
1 0 120130573
1 0 120130574
1 0 120130625
1 0 120130644
1 0 120130645
1 0 120130646
0.5 0.5 120130738
0.5 0.5 120130739
0.5 0.5 120130740
1 0 120130751
1 0 120130752
1 0 120130765
1 0 120130766
0.75 0.25 120130767
0.75 0.25 120130768
0.75 0.25 120130769
1 0 120130770
1 0 120130771
1 0 120130772
1 0 120130773
1 0 120130778
1 0 120130779
1 0 120130784
1 0 120130785
1 0 120130786
1 0 120130787
1 0 120130788
1 0 120130789
1 0 120130790
1 0 120130791
0.75 0.25 120130792
0.75 0.25 120130793
0.75 0.25 120130794
0.75 0.25 120130795
1 0 120130796
1 0 120130797
1 0 120130798
1 0 120143011
1 0 120143012
1 0 120143013
1 0 120143015
1 0 120143016
1 0 120143017
1 0 120143018
1 0 120143019
1 0 120143020
1 0 120143021
0.875 0.125 120143022
0.875 0.125 120143023
0.875 0.125 120143024
0.875 0.125 120143025
0.5 0.5 120143034
0.5 0.5 120143035
0.5 0.5 120143036
0.5 0.5 120143037
1 0 120143045
1 0 120143046
1 0 120143047
1 0 120143048
1 0 120143049
1 0 120143050
1 0 120143051
1 0 120143052
1 0 120143059
1 0 120143060
1 0 120143061
1 0 120143062
1 0 120143063
1 0 120143064
1 0 120143065
1 0 120143066
1 0 120143067
1 0 120143068
1 0 120143069
1 0 120143070
1 0 120143071
1 0 120143072
1 0 120143073
1 0 120143074
1 0 120143077
1 0 120143078
0.75 0.25 120143079
0.75 0.25 120143080
0.875 0.125 120143081
0.875 0.125 120143082
0.875 0.125 120143083
1 0 120143084
1 0 120143085
1 0 120143086
0.875 0.125 120143097
0.875 0.125 120143098
0.875 0.125 120143099
0.875 0.125 120143100
1 0 120143114
1 0 120143115
0.5 0.5 120143116
0.5 0.5 120143117
0.5 0.5 120143118
1 0 120143125
1 0 120143126
1 0 120143127
0.875 0.125 120143128
0.875 0.125 120143129
0.875 0.125 120143130
0.75 0.25 120143137
0.75 0.25 120143138
0.875 0.125 120143139
0.875 0.125 120143140
0.875 0.125 120143141
1 0 120143142
1 0 120143143
1 0 120143144
1 0 120143155
1 0 120143156
1 0 120143163
1 0 120143164
1 0 120143165
1 0 120143174
1 0 120143175
1 0 120143176
1 0 120143177
1 0 120143178
0.875 0.125 120143181
0.875 0.125 120143182
1 0 120143183
0.875 0.125 120143189
0.875 0.125 120143190
1 0 120143191
1 0 120143192
1 0 120143200
1 0 120143201
1 0 120143202
1 0 120143203
1 0 120143204
1 0 120143205
1 0 120143217
1 0 120143218
1 0 120143219
1 0 120143220
1 0 120143233
1 0 120143234
1 0 120143235
1 0 120143236
1 0 120143237
1 0 120143238
1 0 120143239
0.75 0.25 120143240
0.75 0.25 120143241
0.75 0.25 120143242
0.75 0.25 120143243
1 0 120143244
1 0 120143245
1 0 120143248
1 0 120143249
1 0 120143256
1 0 120143257
1 0 120143258
1 0 120143259
1 0 120143260
1 0 120143261
1 0 120143262
1 0 120143263
1 0 120143264
0.75 0.25 120143267
1 0 120143268
1 0 120143269
1 0 120143270
1 0 120143271
1 0 120143272
1 0 120143273
1 0 120143274
1 0 120143277
1 0 120143278
1 0 120143279
0.5 0.5 120143285
0.5 0.5 120143286
1 0 123116201
1 0 123116212
1 0 123116213
0.875 0.125 123116214
0.875 0.125 123116215
1 0 123116216
1 0 123116217
1 0 123116218
0.5 0.5 123116219
0.5 0.5 123116220
0.5 0.5 123116221
0.875 0.125 123116234
0.875 0.125 123116235
0.875 0.125 123116236
0.875 0.125 123116239
0.875 0.125 123116240
0.875 0.125 123116241
1 0 123116242
1 0 123116243
1 0 123116244
1 0 123116245
1 0 123116246
1 0 123116247
1 0 123116248
0.875 0.125 123116249
1 0 123116260
1 0 123116261
1 0 123116262
1 0 123116263
0.75 0.25 123116264
0.75 0.25 123116265
0.75 0.25 123116266
0.75 0.25 123116267
1 0 123116280
1 0 123116281
1 0 123116282
1 0 123116283
1 0 123116287
1 0 123116288
0.875 0.125 123116289
0.875 0.125 123116290
1 0 123116291
1 0 123116292
1 0 123116293
0.75 0.25 123116294
0.75 0.25 123116295
1 0 123116296
1 0 123116297
1 0 123116298
1 0 123116299
0.875 0.125 123116311
0.875 0.125 123116312
0.875 0.125 123116313
0.875 0.125 123116314
0.875 0.125 123116315
0.875 0.125 123116316
0.875 0.125 123116317
1 0 125158701
1 0 125158702
1 0 125158773
1 0 125158774
1 0 125158775
1 0 125158779
1 0 125158780
1 0 125158781
0.75 0.25 125158812
0.75 0.25 125158813
0.875 0.125 125158844
0.875 0.125 125158845
0.875 0.125 125158881
0.875 0.125 125158882
1 0 125158895
1 0 125158896
1 0 125158897
0.375 0.625 125158973
0.375 0.625 125158974
0.375 0.625 125158975
0.875 0.125 125159115
0.875 0.125 125159116
0.875 0.125 125159117
0.75 0.25 125159146
0.75 0.25 125159148
0.75 0.25 125159149
0.75 0.25 125159206
0.75 0.25 125159207
0.75 0.25 125159208
0.875 0.125 125159227
0.875 0.125 125159228
0.875 0.125 125159229
0.375 0.625 125159280
0.375 0.625 125159281
0.75 0.25 125159292
0.75 0.25 125159293
0.75 0.25 125159294
0.75 0.25 125159295
0.875 0.125 125159353
0.875 0.125 125159354
0.875 0.125 125159355
0.375 0.625 125159448
0.375 0.625 125159449
0.75 0.25 125159451
0.75 0.25 125159452
0.75 0.25 125159453
0.75 0.25 125159454
0.875 0.125 125159481
0.875 0.125 125159482
0.875 0.125 125160147
0.875 0.125 125160148
1 0 125160149
1 0 125160150
1 0 125160151
1 0 125160152
1 0 125160153
1 0 125160177
1 0 125160178
1 0 125160182
1 0 125160183
1 0 125160184
1 0 125160185
0.875 0.125 125160192
0.875 0.125 125160193
0.875 0.125 125160194
0.875 0.125 125160195
0.875 0.125 125160197
0.875 0.125 125160198
0.875 0.125 125160199
0.875 0.125 125160200
1 0 125160217
1 0 125160218
0.875 0.125 125160224
0.875 0.125 125160225
0.875 0.125 125160227
0.875 0.125 125160228
1 0 125160230
1 0 125160231
1 0 125160232
1 0 125160233
1 0 125160242
1 0 125160243
1 0 125160244
1 0 125160278
1 0 125160279
1 0 125160280
1 0 125160281
1 0 125160299
1 0 125160300
0.75 0.25 135102070
0.75 0.25 135102071
0.875 0.125 135102204
0.875 0.125 135102205
0.875 0.125 135102206
0.5 0.5 135102222
0.5 0.5 135102223
0.5 0.5 135102224
0.5 0.5 135102341
1 0 999999030
1 0 999999038
1 0 120130746
1 0 120130747
1 0 120130748
1 0 120130749
1 0 120143091
1 0 120143092
1 0 120143093
1 0 120143094
0.875 0.125 120143120
0.875 0.125 120143121
0.9375 0.0625 120143122
0.9375 0.0625 120143123
0.75 0.25 120143131
0.75 0.25 120143132
0.75 0.25 120143133
1 0 120143134
1 0 120143135
1 0 120143136
1 0 120143147
1 0 120143148
1 0 120143152
1 0 120143153
1 0 120143154
0.75 0.25 120143166
0.75 0.25 120143167
0.75 0.25 120143168
0.875 0.125 120143179
0.875 0.125 120143180
0.75 0.25 120143193
0.75 0.25 120143194
0.75 0.25 120143197
0.75 0.25 120143198
0.75 0.25 120143199
1 0 123116202
1 0 123116205
1 0 123116206
1 0 123116207
1 0 123116209
1 0 123116210
1 0 123116211
1 0 123116225
1 0 123116226
0.9375 0.0625 123116229
0.9375 0.0625 123116230
0.9375 0.0625 123116231
1 0 123116237
1 0 123116238
0.75 0.25 123116250
1 0 123116251
1 0 123116252
1 0 123116253
1 0 123116254
1 0 123116255
1 0 123116256
1 0 123116257
1 0 123116258
1 0 123116259
1 0 123116268
1 0 123116269
1 0 123116270
1 0 123116272
1 0 123116273
1 0 123116274
1 0 123116275
1 0 123116303
1 0 123116304
1 0 123116305
0.75 0.25 123116306
0.75 0.25 123116307
1 0 123116308
1 0 123116309
0.75 0.25 123116318
0.75 0.25 123116319
0.875 0.125 123116320
0.875 0.125 123116321
0.875 0.125 123116322
0.9375 0.0625 125158703
0.9375 0.0625 125158704
0.9375 0.0625 125158705
0.9375 0.0625 125158706
1 0 125158707
1 0 125158708
0.9375 0.0625 125158712
0.9375 0.0625 125158713
0.9375 0.0625 125158714
0.9375 0.0625 125158715
0.75 0.25 125158720
0.75 0.25 125158721
0.75 0.25 125158722
0.75 0.25 125158723
0.9375 0.0625 125158729
0.9375 0.0625 125158730
0.9375 0.0625 125158731
0.9375 0.0625 125158732
1 0 125158736
1 0 125158737
1 0 125158738
0.9375 0.0625 125158745
0.9375 0.0625 125158746
0.9375 0.0625 125158747
0.9375 0.0625 125158752
0.9375 0.0625 125158753
0.9375 0.0625 125158754
1 0 125158755
1 0 125158756
1 0 125158757
1 0 125158758
1 0 125158759
1 0 125158760
1 0 125158761
1 0 125158762
0.9375 0.0625 125158763
1 0 125158785
1 0 125158786
1 0 125158787
1 0 125158788
1 0 125158791
0.9375 0.0625 125158826
0.9375 0.0625 125158827
0.9375 0.0625 125158828
0.9375 0.0625 125158832
0.9375 0.0625 125158833
0.25 0.75 125158837
0.25 0.75 125158838
0.25 0.75 125158839
1 0 125158840
1 0 125158841
1 0 125158842
1 0 125158843
1 0 125158859
1 0 125158860
1 0 125158875
1 0 125158876
1 0 125158877
1 0 125158878
1 0 125158879
1 0 125158880
0.8125 0.1875 125158911
0.875 0.125 125158930
0.875 0.125 125158931
0.875 0.125 125158932
1 0 125158943
1 0 125158944
1 0 125158945
1 0 125158946
1 0 125158947
0.9375 0.0625 125158951
0.9375 0.0625 125158952
0.9375 0.0625 125158953
1 0 125158959
0.75 0.25 125158969
0.75 0.25 125158970
0.75 0.25 125158971
0.8125 0.1875 125158990
0.8125 0.1875 125158991
0.8125 0.1875 125158992
0.9375 0.0625 125158999
0.9375 0.0625 125159000
0.9375 0.0625 125159101
0.9375 0.0625 125159102
1 0 125159129
1 0 125159130
0.75 0.25 125159150
0.75 0.25 125159151
1 0 125159201
1 0 125159202
0.25 0.75 125159209
0.25 0.75 125159210
0.9375 0.0625 125159215
0.9375 0.0625 125159216
1 0 125159219
1 0 125159220
0.9375 0.0625 125159222
1 0 125159230
1 0 125159231
1 0 125159232
0.9375 0.0625 125159248
0.9375 0.0625 125159249
0.9375 0.0625 125159250
0.875 0.125 125159253
0.875 0.125 125159254
0.875 0.125 125159255
1 0 125159274
1 0 125159275
1 0 125159276
1 0 125159277
1 0 125159278
0.9375 0.0625 125159296
0.9375 0.0625 125159297
0.9375 0.0625 125159298
0.9375 0.0625 125159301
0.9375 0.0625 125159302
0.9375 0.0625 125159303
1 0 125159336
1 0 125159337
1 0 125159338
1 0 125159341
1 0 125159343
1 0 125159344
1 0 125159345
1 0 125159346
0.9375 0.0625 125159349
0.9375 0.0625 125159350
1 0 125159364
1 0 125159365
1 0 125159366
1 0 125159367
0.9375 0.0625 125159370
0.9375 0.0625 125159371
1 0 125159384
1 0 125159394
1 0 125159395
1 0 125159396
1 0 125159410
1 0 125159411
1 0 125159416
1 0 125159417
1 0 125159418
1 0 125159419
1 0 125159432
1 0 125159433
1 0 125159434
0.9375 0.0625 125159439
0.9375 0.0625 125159440
0.9375 0.0625 125159441
0.9375 0.0625 125159461
1 0 125159485
1 0 125159486
1 0 125160146
1 0 125160158
1 0 125160159
1 0 125160160
1 0 125160161
0.25 0.75 125160162
0.25 0.75 125160163
0.25 0.75 125160164
1 0 125160174
1 0 125160175
1 0 125160176
1 0 125160186
1 0 125160201
1 0 125160207
1 0 125160208
0.25 0.75 125160209
0.25 0.75 125160210
0.25 0.75 125160211
1 0 125160220
1 0 125160221
1 0 125160222
1 0 125160234
1 0 125160235
0.25 0.75 125160240
0.25 0.75 125160241
0.9375 0.0625 125160268
0.9375 0.0625 125160269
0.9375 0.0625 125160270
0.9375 0.0625 125160271
1 0 125160272
1 0 125160273
1 0 125160274
1 0 125160286
1 0 125160287
1 0 125160288
1 0 125160297
1 0 125160298
0.9375 0.0625 125164958
0.375 0.625 125164982
0.375 0.625 125164983
1 0 127186107
1 0 127186108
1 0 127186109
1 0 127186120
0.9375 0.0625 127186145
0.9375 0.0625 127186146
0.9375 0.0625 127186147
1 0 135102022
0.6875 0.3125 135102027
0.6875 0.3125 135102028
0.9375 0.0625 135102032
0.9375 0.0625 135102043
1 0 135102051
1 0 135102052
