"ninecode" "natalyr" "sex.use" "nestrec" "surv.ind.to.ad" "brood.date" "sex.use.x1" "f.coef" "foc0" "g1" "natalyr.no"
145162163 1995 1 2099 0 152 1 0.0826148986816406 0.561279296875 0.438720703125 21
145162164 1995 1 2099 0 152 1 0.0826148986816406 0.561279296875 0.438720703125 21
145162165 1995 1 2057 0 155 1 0.0364017486572266 0.435546875 0.564453125 21
145162166 1995 2 2045 0 157 2 0.0804424285888672 0.681884765625 0.318115234375 21
145162167 1995 1 2045 0 157 1 0.0804424285888672 0.681884765625 0.318115234375 21
145162169 1995 2 2111 0 158 2 0.0543289184570312 0.47119140625 0.52880859375 21
145162170 1995 1 2111 0 158 1 0.0856342315673828 0.6005859375 0.3994140625 21
145162171 1995 1 2080 0 160 1 0.107315063476562 0.75 0.25 21
145162172 1995 2 2080 0 160 2 0.0961380004882812 0.710205078125 0.289794921875 21
145162173 1995 1 2080 0 160 1 0.107315063476562 0.75 0.25 21
145162175 1995 1 2068 0 161 1 0.0951497554779053 0.5823974609375 0.4176025390625 21
145162176 1995 2 2095 1 162 2 0.0646266937255859 0.549072265625 0.450927734375 21
145162177 1995 1 2095 0 162 1 0.0663909912109375 0.593994140625 0.406005859375 21
145162178 1995 2 2036 0 166 2 0.133743286132812 0.80419921875 0.19580078125 21
145162179 1995 2 2036 0 166 2 0.183263778686523 0.8095703125 0.1904296875 21
145162182 1996 2 2112 0 94 2 0.0983409881591797 0.646240234375 0.353759765625 22
145162183 1996 2 2112 1 94 2 0.0983409881591797 0.646240234375 0.353759765625 22
145162185 1996 2 2113 1 97 2 0.0906162261962891 0.625244140625 0.374755859375 22
145162188 1996 1 2117 0 99 1 0.030487060546875 0.62353515625 0.37646484375 22
145162190 1996 2 2117 1 99 2 0.0446243286132812 0.45654296875 0.54345703125 22
145162192 1996 1 2121 1 102 1 0.0807380676269531 0.71484375 0.28515625 22
145162194 1996 2 2125 1 105 2 0.0228004455566406 0.48193359375 0.51806640625 22
145162202 1996 2 2130 1 106 2 0.151985168457031 0.60546875 0.39453125 22
145162206 1996 2 2129 1 106 2 0.0801362991333008 0.6312255859375 0.3687744140625 22
145162211 1996 2 2132 1 110 2 0.0341529846191406 0.44970703125 0.55029296875 22
145162215 1996 1 2138 1 112 1 0.0543289184570312 0.47119140625 0.52880859375 22
145162217 1996 2 2138 1 112 2 0.0543289184570312 0.47119140625 0.52880859375 22
145162222 1996 2 2143 1 116 2 0.0980720520019531 0.687744140625 0.312255859375 22
145162225 1996 1 2140 1 114 1 0.013427734375 0.53076171875 0.46923828125 22
145162226 1996 2 2145 1 115 2 0.0386123657226562 0.6494140625 0.3505859375 22
145162230 1996 1 2147 1 120 1 0.0440864562988281 0.56787109375 0.43212890625 22
145162231 1996 2 2147 0 120 2 0.0440864562988281 0.56787109375 0.43212890625 22
145162232 1996 2 2147 1 120 2 0.0440864562988281 0.56787109375 0.43212890625 22
145162237 1996 2 2150 1 122 2 0.0722036361694336 0.6783447265625 0.3216552734375 22
145162239 1996 2 2149 1 124 2 0.0239830017089844 0.55810546875 0.44189453125 22
145162243 1996 2 2153 1 125 2 0.0476245880126953 0.52197265625 0.47802734375 22
145162244 1996 2 2153 0 125 2 0.0899019241333008 0.691162109375 0.308837890625 22
145162249 1996 2 2156 0 125 2 0.0710601806640625 0.5 0.5 22
145162250 1996 1 2154 1 127 1 0.0491561889648438 0.53173828125 0.46826171875 22
145162252 1996 1 2160 0 126 1 0.055267333984375 0.67822265625 0.32177734375 22
145162253 1996 1 2160 0 126 1 0.055267333984375 0.67822265625 0.32177734375 22
145162254 1996 2 2160 0 126 2 0.055267333984375 0.67822265625 0.32177734375 22
145162255 1996 2 2155 0 127 2 0.0839900970458984 0.574951171875 0.425048828125 22
145162258 1996 2 2158 1 126 2 0.0600414276123047 0.453369140625 0.546630859375 22
145162259 1996 2 2158 0 126 2 0.0600414276123047 0.453369140625 0.546630859375 22
145162260 1996 1 2158 0 126 1 0.0600414276123047 0.453369140625 0.546630859375 22
145162261 1996 2 2159 0 128 2 0.0640792846679688 0.58056640625 0.41943359375 22
145162266 1996 2 2162 0 132 2 0.193277359008789 0.747314453125 0.252685546875 22
145162267 1996 2 2162 1 132 2 0.193277359008789 0.747314453125 0.252685546875 22
145162272 1996 1 2164 1 132 1 0.0908012390136719 0.673095703125 0.326904296875 22
145162277 1996 1 2163 0 131 1 0.06414794921875 0.68603515625 0.31396484375 22
145162278 1996 1 2169 1 133 1 0.0335235595703125 0.53173828125 0.46826171875 22
145162281 1996 2 2166 1 132 2 0.0729856491088867 0.612548828125 0.387451171875 22
145162282 1996 1 2166 0 132 1 0.0729856491088867 0.612548828125 0.387451171875 22
145162283 1996 1 2171 0 135 1 0.0879173278808594 0.51025390625 0.48974609375 22
145162284 1996 2 2171 1 135 2 0.0310440063476562 0.48193359375 0.51806640625 22
145162285 1996 1 2171 1 135 1 0.0310440063476562 0.48193359375 0.51806640625 22
145162287 1996 1 2172 1 137 1 0.0233306884765625 0.4990234375 0.5009765625 22
145162292 1996 1 2177 0 142 1 0.0565395355224609 0.658935546875 0.341064453125 22
145162294 1996 2 2176 1 141 2 0.0983409881591797 0.646240234375 0.353759765625 22
145162295 1996 1 2176 0 141 1 0.0983409881591797 0.646240234375 0.353759765625 22
145162296 1996 2 2175 1 141 2 0 0.334228515625 0.665771484375 22
145162297 1996 2 2175 0 141 2 0 0.334228515625 0.665771484375 22
145162299 1996 2 2178 1 143 2 0.0946216583251953 0.5867919921875 0.4132080078125 22
145162301 1996 2 2178 0 143 2 0.0946216583251953 0.5867919921875 0.4132080078125 22
145162306 1996 2 2180 1 146 2 0.0808143615722656 0.66162109375 0.33837890625 22
145162309 1996 2 2179 0 144 2 0.0511970520019531 0.58251953125 0.41748046875 22
145162311 1996 2 2179 0 144 2 0.0511970520019531 0.58251953125 0.41748046875 22
145162312 1996 2 2179 1 144 2 0.0511970520019531 0.58251953125 0.41748046875 22
145162313 1996 1 2182 0 147 1 0.0938491821289062 0.704345703125 0.295654296875 22
145162315 1996 1 2182 1 147 1 0.0938491821289062 0.704345703125 0.295654296875 22
145162318 1996 1 2184 0 148 1 0.0544033050537109 0.626220703125 0.373779296875 22
145162320 1996 2 2184 0 148 2 0.0544033050537109 0.626220703125 0.373779296875 22
145162324 1996 1 2188 1 149 1 0.0386123657226562 0.6494140625 0.3505859375 22
145162327 1996 2 2187 0 149 2 0.077392578125 0.454345703125 0.545654296875 22
145162329 1996 2 2189 1 150 2 0.0980720520019531 0.687744140625 0.312255859375 22
145162333 1996 1 2191 0 151 1 0.0579414367675781 0.67919921875 0.32080078125 22
145162334 1996 2 2191 1 151 2 0.0579414367675781 0.67919921875 0.32080078125 22
145162335 1996 2 2191 0 151 2 0.0579414367675781 0.67919921875 0.32080078125 22
145162337 1996 2 2193 1 156 2 0.0239830017089844 0.55810546875 0.44189453125 22
145162340 1996 2 2194 1 158 2 0.0652952194213867 0.52392578125 0.47607421875 22
145162341 1996 2 2196 1 157 2 0.0903606414794922 0.62158203125 0.37841796875 22
145162345 1996 1 2199 0 161 1 0.0549507141113281 0.3134765625 0.6865234375 22
145162346 1996 1 2199 0 161 1 0.0549507141113281 0.3134765625 0.6865234375 22
145162354 1996 1 2200 0 163 1 0.0812692642211914 0.469482421875 0.530517578125 22
145162355 1996 2 2201 0 165 2 0.0946884155273438 0.5537109375 0.4462890625 22
145162356 1996 1 2201 1 165 1 0.0946884155273438 0.5537109375 0.4462890625 22
